Leadership,Empathy & Social Skills,Strategic Thinking & Problem-Solving,Creativity & Innovation,Resilience & Adaptability,Job Role Category,Vector Value for ML
63.03,39.72,100.0,93.69,52.77,Creation and Development,0
59.99,30.33,69.2,100.0,55.51,Creation and Development,0
59.58,35.42,79.77,89.1,54.28,Creation and Development,0
63.62,38.53,74.97,77.6,68.68,Creation and Development,0
59.42,39.96,87.83,98.17,50.22,Creation and Development,0
48.0,36.96,68.03,90.56,58.18,Creation and Development,0
55.09,45.32,86.09,80.89,63.13,Creation and Development,0
67.96,41.23,83.4,96.63,67.06,Creation and Development,0
56.88,43.33,89.1,83.17,59.23,Creation and Development,0
61.25,46.14,83.5,82.82,61.73,Creation and Development,0
68.14,35.04,75.43,89.77,49.8,Creation and Development,0
56.19,37.43,73.4,80.44,55.11,Creation and Development,0
57.39,37.2,100.0,100.0,50.33,Creation and Development,0
65.57,43.15,75.27,76.31,47.19,Creation and Development,0
54.61,43.79,100.0,89.72,56.49,Creation and Development,0
55.92,38.43,83.75,79.74,62.63,Creation and Development,0
64.29,40.73,86.69,75.54,72.01,Creation and Development,0
60.4,34.21,79.4,86.74,65.56,Creation and Development,0
95.71,50.28,91.61,73.77,59.0,Planning and Administration,1
92.24,60.15,78.76,60.88,55.08,Planning and Administration,1
91.35,60.47,98.82,56.2,49.69,Planning and Administration,1
100.0,58.0,100.0,63.77,48.04,Planning and Administration,1
100.0,47.65,94.24,54.76,51.95,Planning and Administration,1
94.07,51.39,97.66,56.04,54.3,Planning and Administration,1
92.64,39.69,88.6,57.44,51.57,Planning and Administration,1
93.21,49.67,97.96,63.92,47.9,Planning and Administration,1
93.7,48.18,91.0,48.65,42.39,Planning and Administration,1
81.66,43.68,100.0,59.74,41.37,Planning and Administration,1
78.85,41.04,79.21,53.36,49.78,Planning and Administration,1
80.56,47.74,94.17,56.52,55.21,Planning and Administration,1
78.58,47.9,91.88,66.31,40.57,Planning and Administration,1
99.71,50.5,85.12,62.08,46.35,Planning and Administration,1
75.26,43.95,83.64,63.48,52.25,Planning and Administration,1
79.22,53.76,82.87,54.74,52.9,Planning and Administration,1
90.98,48.96,80.34,56.28,44.31,Planning and Administration,1
85.15,43.95,90.22,57.73,57.35,Planning and Administration,1
96.14,46.75,98.84,65.05,50.91,Planning and Administration,1
84.49,47.54,81.84,57.01,45.21,Planning and Administration,1
86.4,43.89,84.1,59.9,47.28,Planning and Administration,1
97.98,48.69,92.54,73.89,47.07,Planning and Administration,1
98.65,45.91,95.43,62.31,42.91,Planning and Administration,1
84.08,52.71,89.96,61.23,48.83,Planning and Administration,1
87.01,53.74,86.84,58.35,56.62,Planning and Administration,1
84.05,50.26,83.46,65.64,57.08,Planning and Administration,1
78.71,48.67,78.28,69.96,50.41,Planning and Administration,1
82.95,43.39,91.06,62.41,54.71,Planning and Administration,1
95.66,44.73,88.54,64.71,53.9,Planning and Administration,1
81.5,51.2,80.95,70.31,55.98,Planning and Administration,1
92.12,52.21,90.86,74.89,46.75,Planning and Administration,1
100.0,48.58,100.0,60.63,43.05,Planning and Administration,1
93.22,46.48,94.61,61.54,51.76,Planning and Administration,1
82.09,41.38,87.03,66.09,50.3,Planning and Administration,1
78.49,49.78,79.66,60.83,50.75,Planning and Administration,1
80.81,49.63,79.51,55.6,46.63,Planning and Administration,1
96.97,49.77,90.64,56.61,57.87,Planning and Administration,1
84.29,51.25,76.91,67.19,42.35,Planning and Administration,1
84.46,38.84,91.75,60.13,40.9,Planning and Administration,1
99.56,53.93,91.59,60.24,41.63,Planning and Administration,1
77.38,46.05,87.48,67.63,45.19,Planning and Administration,1
90.12,50.96,90.77,65.28,50.36,Planning and Administration,1
99.82,58.92,88.19,56.25,49.58,Planning and Administration,1
83.61,57.52,80.28,59.19,47.53,Planning and Administration,1
84.44,55.57,77.18,60.42,56.38,Planning and Administration,1
94.36,49.27,88.96,55.81,47.75,Planning and Administration,1
79.77,45.07,81.93,64.91,49.62,Planning and Administration,1
98.79,50.64,82.11,60.96,50.86,Planning and Administration,1
88.23,39.85,93.75,67.39,49.39,Planning and Administration,1
100.0,47.48,82.16,63.88,54.46,Planning and Administration,1
54.75,100.0,71.05,76.56,79.11,Management and Sales,2
59.86,97.38,72.96,65.32,87.72,Management and Sales,2
61.53,100.0,73.81,81.05,83.16,Management and Sales,2
52.63,78.92,59.94,67.55,69.96,Management and Sales,2
63.62,86.37,74.57,59.64,84.1,Management and Sales,2
67.03,100.0,75.38,74.74,80.79,Management and Sales,2
71.57,96.42,70.97,60.62,74.38,Management and Sales,2
53.67,72.82,79.52,70.89,76.76,Management and Sales,2
61.05,91.57,73.62,69.74,89.59,Management and Sales,2
69.47,93.04,63.62,61.38,86.78,Management and Sales,2
56.73,100.0,77.13,71.41,84.99,Management and Sales,2
62.93,82.91,69.8,65.2,70.67,Management and Sales,2
71.55,100.0,73.1,60.41,79.63,Management and Sales,2
63.98,75.89,67.92,75.92,79.55,Management and Sales,2
64.32,95.46,67.52,76.28,92.76,Management and Sales,2
67.12,97.13,72.65,66.64,86.8,Management and Sales,2
62.15,87.98,66.06,77.05,66.02,Management and Sales,2
66.92,91.16,71.32,71.86,87.58,Management and Sales,2
66.75,97.9,66.24,69.11,81.42,Management and Sales,2
53.03,87.05,64.18,81.56,83.24,Management and Sales,2
59.89,75.33,68.7,72.62,78.7,Management and Sales,2
58.19,83.87,67.35,63.68,81.44,Management and Sales,2
64.63,92.61,68.18,65.98,90.71,Management and Sales,2
64.39,77.57,71.87,76.55,88.09,Management and Sales,2
69.4,100.0,74.54,57.58,91.27,Management and Sales,2
65.15,75.92,70.78,64.7,71.47,Management and Sales,2
58.82,84.43,56.48,65.88,81.14,Management and Sales,2
67.11,92.95,66.08,68.94,75.72,Management and Sales,2
64.15,86.71,65.82,60.75,69.01,Management and Sales,2
54.47,93.72,67.66,60.35,85.34,Management and Sales,2
55.93,78.32,78.1,77.6,79.1,Management and Sales,2
56.39,94.46,66.22,71.87,65.56,Management and Sales,2
52.04,97.23,70.46,66.86,86.48,Management and Sales,2
63.19,87.63,81.47,67.89,69.56,Management and Sales,2
55.26,100.0,74.35,66.81,89.68,Management and Sales,2
67.39,90.6,71.63,77.63,75.57,Management and Sales,2
64.53,94.64,69.21,77.21,74.68,Management and Sales,2
65.29,99.49,67.47,69.0,81.94,Management and Sales,2
52.85,100.0,71.54,71.97,92.65,Management and Sales,2
50.98,81.28,69.87,66.61,84.16,Management and Sales,2
50.68,79.85,66.44,78.2,84.55,Management and Sales,2
50.82,79.35,75.02,59.32,83.19,Management and Sales,2
56.76,74.11,76.44,64.12,84.44,Management and Sales,2
59.34,91.37,58.21,68.01,77.94,Management and Sales,2
64.4,94.1,71.47,77.43,92.82,Management and Sales,2
61.13,100.0,64.45,74.06,79.82,Management and Sales,2
59.6,80.96,71.06,77.89,91.72,Management and Sales,2
63.59,99.26,68.04,77.43,89.05,Management and Sales,2
61.92,86.26,64.98,69.05,78.7,Management and Sales,2
54.01,78.37,73.85,72.4,80.27,Management and Sales,2
